c1,7,1,,,55,110,,90,20,0,130,15,90,,,,,20
c2,5,1,,,50,90,,97,20.4,0,119,75,135,,,,,20
c3,7,1,,,55,110,,95,50,0,30,0,0,,,,,5
c4,7,1,,,55,105,200,85,0,,82,75,135,,,,,30
c5,6,1,5,25,55,105,,88,3.4,0,56,23,0,,,,,30
c6,6,1,5,12,55,105,,94,25,0,56,10,0,,,,,60
c7,6,1,,,50,125,,88.8,22.1,270,15,15,180,,,,,20
d1,6,1,,,45,100,,98,50,270,100,35,180,,,,,60
m1,7,1,,,47,85,,90,15.5,180,40,25,0,55,,,,20
m2,8,1,,,63,120,100,97,41,180,150,50,20,10,,,,20
m3,5,10,,,56,90,10,87,10.7,180,25,8,93,,70,,,20
m4,9,15,,,56,90,,97,35,180,80,50,90,,30,,,20
o1a,9,1,,,56,90,,95,35,180,20,50,90,,,1,90,5
o1b,6,1,,,50,90,,85,0.5,180,40,0,,,,0.2,55,10
o1b,6,1,,,50,90,,95,35,180,40,10,90,,,1,45,20
s1,6,1,,,50,90,,95,15,180,130,20,45,,,,,20
s2,7,1,,,50,90,,87,0,0,63,0,0,,,,,20
s3,8,1,,,50,90,,89,0,0,20,30,90,,,,,20
c6,6,20,,,46,77,,90,15,0,80,10,90,,,,,10
c6,8,1,,,46,77,,91,20,0,100,30,90,,,,,10
