infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 1, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 2, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 3, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 4, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 5, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 6, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 399, NonBurnable, 0, StillAvailableCells, 1, SimYears, 1, fireperiods1, 194
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 7, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 8, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 9, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 10, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 11, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 12, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 13, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 14, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
