HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
25/09/2001,0,2.5,94,360,2,0
25/09/2001,1,1.1,96,360,2,0
25/09/2001,2,-0.3,98,360,1,0
25/09/2001,3,-0.7,98,360,3,0
25/09/2001,4,-0.3,94,360,0,0
25/09/2001,5,1.8,82,360,2,0
25/09/2001,6,2.5,78,360,9,0
25/09/2001,7,2.1,80,360,5,0
25/09/2001,8,2.8,78,360,2,0
25/09/2001,9,4.9,78,360,6,0
25/09/2001,10,12.1,43,360,11,0
25/09/2001,11,16.9,33,360,18,0
25/09/2001,12,21.3,24,360,5,0
25/09/2001,13,23.3,14,360,4,0
25/09/2001,14,24.2,14,360,9,0
25/09/2001,15,25.1,14,360,12,0
25/09/2001,16,26.9,10,360,13,0
25/09/2001,17,27.3,10,360,7,0
25/09/2001,18,25.1,14,360,15,0
25/09/2001,19,22.1,20,360,6,0
25/09/2001,20,12.1,47,360,0,0
25/09/2001,21,8.8,57,360,0,0
25/09/2001,22,7.8,65,360,3,0
25/09/2001,23,7.1,67,360,3,0
26/09/2001,0,6,73,360,3,0
26/09/2001,1,5.7,73,360,2,0
26/09/2001,2,6.4,73,360,2,0
26/09/2001,3,7.1,67,360,3,0
26/09/2001,4,6.7,67,360,6,0
26/09/2001,5,16.9,35,360,35,0
26/09/2001,6,15.4,43,360,38,0
26/09/2001,7,14.3,41,360,28,0
26/09/2001,8,13.9,43,360,30,0
26/09/2001,9,13.9,41,360,19,0
26/09/2001,10,14.6,37,360,25,0
26/09/2001,11,14.3,41,360,21,0
26/09/2001,12,15.8,39,360,35,0
26/09/2001,13,16.5,35,360,28,0
26/09/2001,14,16.5,35,360,27,0
26/09/2001,15,15.8,37,360,18,0
26/09/2001,16,17.3,33,360,17,0
26/09/2001,17,17.7,31,360,21,0
26/09/2001,18,16.5,31,360,13,0
26/09/2001,19,13.9,37,360,11,0
26/09/2001,20,13.1,39,360,25,0
26/09/2001,21,11.7,45,360,19,0
26/09/2001,22,7.1,63,360,2,0
26/09/2001,23,11.7,41,360,10,0
27/09/2001,0,11.3,39,360,19,0
27/09/2001,1,11.7,37,360,22,0
27/09/2001,2,11.7,39,360,22,0
27/09/2001,3,9.9,55,360,34,0
27/09/2001,4,9.5,53,360,26,0
27/09/2001,5,9.2,45,360,21,0
27/09/2001,6,8.1,47,360,19,0
27/09/2001,7,7.4,47,360,13,0
27/09/2001,8,7.4,37,360,16,0
27/09/2001,9,9.5,31,360,12,0
27/09/2001,10,9.5,29,360,8,0
27/09/2001,11,11,25,360,14,0
27/09/2001,12,12.4,20,360,14,0
27/09/2001,13,12.1,22,360,15,0
27/09/2001,14,13.9,22,360,11,0
27/09/2001,15,13.9,22,360,15,0
27/09/2001,16,14.3,20,360,16,0
27/09/2001,17,13.9,22,360,12,0
27/09/2001,18,13.5,25,360,9,0
27/09/2001,19,11,33,360,1,0
27/09/2001,20,7.1,49,360,0,0
27/09/2001,21,5.3,57,360,0,0
27/09/2001,22,3.2,69,360,0,0
27/09/2001,23,1.1,78,360,0,0
28/09/2001,0,0,84,360,0,0
28/09/2001,1,-1,88,360,0,0
28/09/2001,2,-0.7,88,360,0,0
28/09/2001,3,-2.1,92,360,0,0
28/09/2001,4,-2.1,88,360,0,0
28/09/2001,5,-2.4,88,360,0,0
28/09/2001,6,0.7,78,360,10,0
28/09/2001,7,-2.1,90,360,4,0
28/09/2001,8,1.8,76,360,10,0
28/09/2001,9,1.8,78,360,9,0
28/09/2001,10,5.3,69,360,15,0
28/09/2001,11,7.8,63,360,8,0
28/09/2001,12,12.4,41,360,12,0
28/09/2001,13,13.9,31,360,6,0
28/09/2001,14,13.1,31,360,15,0
28/09/2001,15,14.3,27,360,14,0
28/09/2001,16,13.5,27,360,18,0
28/09/2001,17,13.5,25,360,15,0
28/09/2001,18,13.9,25,360,16,0
28/09/2001,19,10.6,29,360,6,0
28/09/2001,20,4.6,51,360,0,0
28/09/2001,21,1.1,65,360,1,0
28/09/2001,22,-1.4,75,360,0,0
28/09/2001,23,-3.1,82,360,1,0
29/09/2001,0,-2.8,80,360,4,0
29/09/2001,1,-4.6,84,360,0,0
29/09/2001,2,-4.6,90,360,0,0
29/09/2001,3,-5.3,90,360,2,0
29/09/2001,4,-6.4,92,360,0,0
29/09/2001,5,-6.4,90,360,0,0
29/09/2001,6,-6.8,96,360,1,0
29/09/2001,7,-7.1,98,360,4,0
29/09/2001,8,-7.9,98,360,7,0
29/09/2001,9,-3.5,92,360,4,0
29/09/2001,10,2.8,67,360,3,0
29/09/2001,11,10.2,39,360,4,0
29/09/2001,12,13.5,29,360,18,0
29/09/2001,13,13.5,31,360,22,0
29/09/2001,14,15,29,360,13,0
29/09/2001,15,15.4,27,360,17,0
29/09/2001,16,16.1,25,360,21,0
29/09/2001,17,15.4,27,360,16,0
29/09/2001,18,14.6,27,360,15,0
29/09/2001,19,13.5,29,360,19,0
29/09/2001,20,13.1,31,360,21,0
29/09/2001,21,12.4,31,360,22,0
29/09/2001,22,11,33,360,12,0
29/09/2001,23,6,49,360,5,0
30/09/2001,0,4.6,55,360,5,0
30/09/2001,1,0.4,67,360,6,0
30/09/2001,2,-0.3,73,360,3,0
30/09/2001,3,-1.4,78,360,1,0
30/09/2001,4,-2.8,84,360,1,0
30/09/2001,5,-3.8,84,360,1,0
30/09/2001,6,-4.6,92,360,1,0
30/09/2001,7,-5.3,86,360,6,0
30/09/2001,8,-5.7,92,360,3,0
30/09/2001,9,-2.8,90,360,2,0
30/09/2001,10,3.5,65,360,0,0
30/09/2001,11,9.2,43,360,10,0
30/09/2001,12,14.3,33,360,9,0
30/09/2001,13,17.3,16,360,16,0
30/09/2001,14,19.3,14,360,15,0
30/09/2001,15,20.5,10,360,12,0
30/09/2001,16,20.1,8,360,19,0
30/09/2001,17,19.7,10,360,17,0
30/09/2001,18,18.9,10,360,15,0
30/09/2001,19,15,16,360,13,0
30/09/2001,20,10.2,25,360,10,0
30/09/2001,21,6,33,360,1,0
30/09/2001,22,1.8,47,360,2,0
30/09/2001,23,0,59,360,2,0
1/10/2001,0,-1,69,360,1,0
1/10/2001,1,-2.4,75,360,0,0
1/10/2001,2,-3.8,78,360,1,0
1/10/2001,3,-3.8,75,360,0,0
1/10/2001,4,-3.8,73,360,0,0
1/10/2001,5,-4.6,78,360,0,0
1/10/2001,6,-3.5,78,360,0,0
1/10/2001,7,-3.8,76,360,0,0
1/10/2001,8,-3.8,80,360,0,0
1/10/2001,9,-2.4,76,360,2,0
1/10/2001,10,2.8,55,360,9,0
1/10/2001,11,6.4,47,360,7,0
1/10/2001,12,9.5,39,360,3,0
1/10/2001,13,12.8,33,360,4,0
1/10/2001,14,13.9,33,360,12,0
1/10/2001,15,10.6,41,360,15,0
1/10/2001,16,7.1,43,360,13,0
1/10/2001,17,6.7,45,360,12,0
1/10/2001,18,1.4,94,360,2,1
1/10/2001,19,0.4,100,360,2,1
1/10/2001,20,0,100,360,0,0.25
1/10/2001,21,0.4,100,360,12,0.25
1/10/2001,22,1.1,98,360,1,0.5
1/10/2001,23,0,98,360,0,0
2/10/2001,0,-0.7,100,360,11,0
2/10/2001,1,-0.7,100,360,14,0
2/10/2001,2,-1,100,360,13,0
2/10/2001,3,-1.4,100,360,4,0
2/10/2001,4,-1,100,360,11,0
2/10/2001,5,-1.4,100,360,10,0
2/10/2001,6,-2.1,100,360,6,0
2/10/2001,7,-1.7,100,360,13,0
2/10/2001,8,-1.4,98,360,8,0
2/10/2001,9,-0.7,98,360,7,0
2/10/2001,10,0,94,360,14,0
2/10/2001,11,2.1,88,360,20,0.5
2/10/2001,12,3.5,90,360,14,0
2/10/2001,13,8.1,73,360,13,0
2/10/2001,14,9.9,53,360,14,0
2/10/2001,15,11.7,37,360,8,0
2/10/2001,16,13.1,29,360,6,0
2/10/2001,17,13.1,31,360,12,0
2/10/2001,18,12.1,33,360,9,0
2/10/2001,19,4.6,67,360,6,0
2/10/2001,20,0.7,88,360,4,0
2/10/2001,21,-1.4,94,360,0,0
2/10/2001,22,-3.1,94,360,1,0
2/10/2001,23,-3.5,94,360,5,0
3/10/2001,0,-3.8,94,360,2,0
3/10/2001,1,-4.6,94,360,0,0
3/10/2001,2,-5.7,98,360,2,0
3/10/2001,3,-4.6,80,360,1,0
3/10/2001,4,-5.7,92,360,1,0
3/10/2001,5,-6,98,360,1,0
3/10/2001,6,-7.5,98,360,0,0
3/10/2001,7,-7.9,98,360,0,0
3/10/2001,8,-9.8,98,360,0,0
3/10/2001,9,-7.9,96,360,1,0
3/10/2001,10,-0.3,75,360,0,0
3/10/2001,11,3.5,47,360,3,0
3/10/2001,12,5.7,37,360,4,0
3/10/2001,13,7.1,33,360,5,0
3/10/2001,14,8.8,29,360,6,0
3/10/2001,15,9.2,29,360,14,0
3/10/2001,16,9.9,27,360,14,0
3/10/2001,17,9.2,29,360,16,0
3/10/2001,18,8.1,33,360,12,0
3/10/2001,19,5.7,39,360,6,0
3/10/2001,20,-0.3,69,360,0,0
3/10/2001,21,-1.4,71,360,0,0
3/10/2001,22,0.7,61,360,1,0
3/10/2001,23,0,88,360,0,0
4/10/2001,0,-1,98,360,0,0
4/10/2001,1,-1.2,98,360,0,0
4/10/2001,2,-1.4,98,360,12,0
4/10/2001,3,-1.7,98,360,1,0
4/10/2001,4,-2.1,98,360,14,0
4/10/2001,5,-2.8,100,360,1,0
4/10/2001,6,-3.1,98,360,4,0
4/10/2001,7,-3.5,98,360,5,0
4/10/2001,8,-4.2,100,360,0,0
4/10/2001,9,-3.8,96,360,1,0
4/10/2001,10,-0.3,75,360,1,0
4/10/2001,11,1.1,59,360,12,0
4/10/2001,12,1.8,45,360,19,1.5
4/10/2001,13,3.2,41,360,15,0.5
4/10/2001,14,4.9,37,360,9,0
4/10/2001,15,5.7,27,360,10,0
4/10/2001,16,6.7,24,360,7,0
4/10/2001,17,7.4,22,360,3,0
4/10/2001,18,6.7,24,360,12,0
4/10/2001,19,-1.4,57,360,0,0
4/10/2001,20,-3.5,71,360,0,0
4/10/2001,21,-4.6,75,360,0,0
4/10/2001,22,-6.4,82,360,0,0
4/10/2001,23,-6.8,76,360,19,0
5/10/2001,0,-3.8,61,360,19,0
5/10/2001,1,-4.6,61,360,10,0
5/10/2001,2,-5.3,63,360,17,0
5/10/2001,3,-5.3,61,360,20,0
5/10/2001,4,-5.7,61,360,15,0
5/10/2001,5,-5.3,57,360,12,0
5/10/2001,6,-5.3,57,360,14,0
5/10/2001,7,-4.9,55,360,17,0
5/10/2001,8,-5.3,57,360,21,0
5/10/2001,9,-4.6,55,360,16,0
5/10/2001,10,-0.3,39,360,1,0
