HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
16/10/2001,13,17.7,20,225,5,0
16/10/2001,14,16.9,18,225,10,0
16/10/2001,15,16.1,20,45,15,0
16/10/2001,16,15.8,20,45,37,0
16/10/2001,17,13.9,25,225,43,0
16/10/2001,18,12.1,35,225,45,0
16/10/2001,19,10.6,41,225,46,0
16/10/2001,20,11.3,39,270,18,0
16/10/2001,21,10.2,41,225,15,0
16/10/2001,22,8.8,55,315,36,0
16/10/2001,23,6.4,76,315,24,0.25
17/10/2001,0,4.6,84,315,19,0
17/10/2001,1,1.4,84,360,24,0
17/10/2001,2,0.7,78,360,17,0
17/10/2001,3,-1,100,270,18,0
17/10/2001,4,-0.7,92,270,22,0
17/10/2001,5,-2.1,96,90,1,0
17/10/2001,6,-1,86,135,2,0
17/10/2001,7,-3.8,96,0,0,0
17/10/2001,8,-1.4,67,270,12,0
17/10/2001,9,-0.7,53,270,17,0
17/10/2001,10,0,63,315,14,0
17/10/2001,11,2.1,37,270,25,0
17/10/2001,12,2.8,43,270,22,0
17/10/2001,13,3.5,43,270,26,0
17/10/2001,14,3.5,41,270,26,0
17/10/2001,15,3.9,35,270,24,0
17/10/2001,16,3.5,33,315,27,0
17/10/2001,17,2.8,29,270,18,0
17/10/2001,18,1.4,31,270,11,0
17/10/2001,19,0,37,225,21,0
17/10/2001,20,-0.7,37,270,14,0
17/10/2001,21,-0.3,33,225,19,0
17/10/2001,22,-0.3,33,270,31,0
17/10/2001,23,0,33,270,38,0
18/10/2001,0,-0.3,35,225,14,0
18/10/2001,1,-0.7,39,270,13,0
18/10/2001,2,-0.3,39,270,17,0
18/10/2001,3,0.4,39,315,14,0
18/10/2001,4,1.4,39,270,25,0
18/10/2001,5,1.8,39,270,37,0
18/10/2001,6,2.1,37,270,32,0
18/10/2001,7,2.5,39,270,38,0
18/10/2001,8,2.8,39,270,33,0
18/10/2001,9,3.9,35,225,40,0
18/10/2001,10,5.3,35,270,28,0
18/10/2001,11,5.7,33,270,30,0
18/10/2001,12,6.7,33,270,39,0
18/10/2001,13,6.7,31,225,31,0
18/10/2001,14,6.4,33,270,35,0
18/10/2001,15,5.7,33,270,29,0
18/10/2001,16,7.1,33,270,23,0
18/10/2001,17,6.4,33,225,22,0
18/10/2001,18,4.9,37,270,21,0
18/10/2001,19,4.2,37,315,15,0
18/10/2001,20,3.9,37,270,21,0
18/10/2001,21,3.9,39,270,20,0
18/10/2001,22,4.2,39,270,15,0
18/10/2001,23,4.2,39,270,17,0
19/10/2001,0,4.9,37,315,27,0
19/10/2001,1,3.9,41,270,26,0
19/10/2001,2,4.6,39,225,33,0
19/10/2001,3,4.6,39,270,22,0
19/10/2001,4,3.9,39,225,18,0
19/10/2001,5,4.6,41,270,28,0
19/10/2001,6,4.6,43,270,32,0
19/10/2001,7,4.2,43,270,20,0
19/10/2001,8,-0.3,63,0,0,0
19/10/2001,9,-1.4,67,135,7,0
19/10/2001,10,3.2,51,0,0,0
19/10/2001,11,7.4,37,270,13,0
19/10/2001,12,7.8,35,225,28,0
19/10/2001,13,8.1,31,270,27,0
19/10/2001,14,8.5,33,270,25,0
19/10/2001,15,7.8,31,315,19,0
19/10/2001,16,6,41,225,20,0
19/10/2001,17,6,47,135,18,0
19/10/2001,18,4.2,61,90,17,0
19/10/2001,19,2.8,67,90,2,0
19/10/2001,20,1.4,76,45,1,0
19/10/2001,21,-3.5,90,0,0,0
19/10/2001,22,-4.6,98,90,1,0
19/10/2001,23,-5.3,96,0,0,0
20/10/2001,0,-6.4,96,0,0,0
20/10/2001,1,-7.9,98,0,0,0
20/10/2001,2,-9,98,90,3,0
20/10/2001,3,-8.6,98,270,3,0
20/10/2001,4,-5.3,78,270,8,0
20/10/2001,5,-4.6,76,270,7,0
20/10/2001,6,-4.6,80,0,0,0
20/10/2001,7,-5.7,86,315,1,0
20/10/2001,8,-5.3,86,0,0,0
20/10/2001,9,-5.7,86,0,0,0
20/10/2001,10,-3.8,82,0,0,0
20/10/2001,11,1.1,61,135,10,0
20/10/2001,12,2.5,53,90,8,0
20/10/2001,13,2.8,53,90,12,0
20/10/2001,14,5.3,43,90,12,2.5
20/10/2001,15,6.7,27,225,12,0
20/10/2001,16,6,27,270,23,0
20/10/2001,17,5.3,29,270,24,0
20/10/2001,18,3.2,33,315,22,0
20/10/2001,19,1.8,37,360,7,0
20/10/2001,20,-0.7,59,90,12,0
20/10/2001,21,-3.5,76,315,3,0
20/10/2001,22,-4.9,82,0,0,0
20/10/2001,23,-5.3,88,0,0,0
21/10/2001,0,-3.8,82,0,0,0
21/10/2001,1,-3.8,82,0,0,0
21/10/2001,2,-3.5,80,0,0,0
21/10/2001,3,-3.1,86,90,1,0
21/10/2001,4,-2.4,86,0,0,0
21/10/2001,5,-2.4,86,135,2,0
21/10/2001,6,-2.1,82,90,7,0
21/10/2001,7,-2.4,82,90,7,0
21/10/2001,8,-2.8,84,135,3,0
21/10/2001,9,-3.1,88,0,0,0
21/10/2001,10,-2.4,82,90,7,0
21/10/2001,11,-0.7,73,0,0,0
21/10/2001,12,0.4,69,360,3,0
21/10/2001,13,2.8,59,135,11,0
21/10/2001,14,4.2,51,90,15,0
21/10/2001,15,3.9,51,90,16,0
21/10/2001,16,3.2,51,90,18,0
21/10/2001,17,1.1,78,180,4,0
21/10/2001,18,-0.3,88,90,12,0
21/10/2001,19,-0.7,84,90,6,0
21/10/2001,20,-1.4,84,90,9,0
21/10/2001,21,-2.1,86,90,4,0
21/10/2001,22,-2.8,88,0,0,0
21/10/2001,23,-3.8,94,0,0,0
22/10/2001,0,-3.8,94,0,0,0
22/10/2001,1,-3.8,96,0,0,0
22/10/2001,2,-4.6,96,0,0,0
22/10/2001,3,-5.3,98,0,0,0
22/10/2001,4,-5.7,98,0,0,0
22/10/2001,5,-5.7,98,0,0,0
22/10/2001,6,-6,98,0,0,0
22/10/2001,7,-6.8,98,0,0,0
22/10/2001,8,-7.1,98,0,0,0
22/10/2001,9,-6.8,98,0,0,0
22/10/2001,10,-4.9,98,0,0,0
22/10/2001,11,-0.7,78,135,1,0
22/10/2001,12,3.9,55,135,5,0
22/10/2001,13,7.1,31,315,16,0
22/10/2001,14,7.8,29,315,15,0
22/10/2001,15,7.4,31,270,18,0
22/10/2001,16,7.1,31,225,18,0
22/10/2001,17,5.7,33,225,21,0
22/10/2001,18,4.6,37,180,11,0
22/10/2001,19,1.4,49,0,0,0
22/10/2001,20,-3.1,63,0,0,0
22/10/2001,21,-2.8,63,0,0,0
22/10/2001,22,-3.1,67,315,3,0
22/10/2001,23,-2.8,71,0,0,0
23/10/2001,0,-4.9,78,0,0,0
23/10/2001,1,-4.9,88,135,1,0
23/10/2001,2,-4.6,96,0,0,0
23/10/2001,3,-4.6,96,0,0,0
23/10/2001,4,-4.9,94,90,1,0
23/10/2001,5,-4.9,94,90,4,0
23/10/2001,6,-4.6,94,90,7,0
23/10/2001,7,-4.6,94,0,0,0
23/10/2001,8,-4.9,96,135,2,0
23/10/2001,9,-3.5,92,90,16,0
23/10/2001,10,-2.8,90,90,9,0
23/10/2001,11,-1.7,88,90,10,0
23/10/2001,12,-0.3,80,135,10,0
23/10/2001,13,2.1,71,135,9,0
23/10/2001,14,3.2,61,135,12,0
23/10/2001,15,1.8,75,90,14,0
23/10/2001,16,0.7,86,135,13,0
23/10/2001,17,-0.7,94,135,12,0.25
23/10/2001,18,-1.4,98,135,9,0
23/10/2001,19,-2.1,98,90,6,0
23/10/2001,20,-2.4,98,135,12,0
23/10/2001,21,-2.4,98,0,0,0
23/10/2001,22,-2.8,98,0,0,0
23/10/2001,23,-3.1,100,90,14,0
24/10/2001,0,-3.1,98,135,7,0
24/10/2001,1,-3.5,98,0,0,0
24/10/2001,2,-3.5,98,0,0,0
24/10/2001,3,-3.1,98,135,1,0
24/10/2001,4,-3.5,100,0,0,0
24/10/2001,5,-3.1,98,315,9,0
24/10/2001,6,-3.8,98,0,0,0
24/10/2001,7,-4.2,100,0,0,0
24/10/2001,8,-4.9,100,0,0,0
24/10/2001,9,-6,100,270,1,0
24/10/2001,10,-5.7,100,135,1,0
24/10/2001,11,-3.1,94,270,10,0
24/10/2001,12,-0.7,45,270,21,0
24/10/2001,13,0.7,35,270,19,14
24/10/2001,14,0.4,33,270,28,0
24/10/2001,15,1.1,29,225,21,0
24/10/2001,16,1.1,29,270,31,0
24/10/2001,17,0.7,33,315,27,0
24/10/2001,18,-0.7,35,270,21,0
24/10/2001,19,-3.1,53,90,4,0
24/10/2001,20,-4.9,67,0,0,0
24/10/2001,21,-5.3,75,135,1,0
24/10/2001,22,-6,82,90,6,0
24/10/2001,23,-6,84,45,5,0
25/10/2001,0,-7.5,92,90,4,0
25/10/2001,1,-9.8,92,0,0,0
25/10/2001,2,-10.5,98,0,0,0
25/10/2001,3,-12.5,98,0,0,0
25/10/2001,4,-12.5,96,0,0,0
25/10/2001,5,-12.1,96,0,0,0
25/10/2001,6,-13.7,92,270,2,0
25/10/2001,7,-14.9,90,0,0,0
25/10/2001,8,-15.7,92,0,0,0
25/10/2001,9,-14.9,96,0,0,0
25/10/2001,10,-9.4,98,225,2,0
25/10/2001,11,-5.3,69,270,8,0
25/10/2001,12,-1,51,0,0,0
25/10/2001,13,0.7,49,135,13,0
25/10/2001,14,0.7,51,135,19,1
25/10/2001,15,1.1,49,90,14,0
25/10/2001,16,1.8,45,90,8,0
25/10/2001,17,2.1,29,225,9,0
25/10/2001,18,-1.7,43,90,4,0
25/10/2001,19,-4.2,69,270,6,0
25/10/2001,20,-5.7,82,0,0,0
25/10/2001,21,-8.3,92,0,0,0
25/10/2001,22,-9.8,88,315,1,0
25/10/2001,23,-9,94,270,1,0
26/10/2001,0,-9,88,90,4,0
26/10/2001,1,-10.5,94,0,0,0
26/10/2001,2,-12.5,96,360,1,0
26/10/2001,3,-12.9,94,270,3,0
26/10/2001,4,-13.3,94,0,0,0
26/10/2001,5,-13.3,96,0,0,0
26/10/2001,6,-13.7,94,0,0,0
26/10/2001,7,-13.3,96,270,3,0
26/10/2001,8,-13.7,94,0,0,0
26/10/2001,9,-12.1,96,225,2,0
26/10/2001,10,-10.1,94,315,5,0
26/10/2001,11,-5.3,86,45,4,0
26/10/2001,12,0.4,73,180,5,0
26/10/2001,13,13.9,31,270,22,0
26/10/2001,14,13.1,35,270,32,0
26/10/2001,15,12.4,37,225,45,0
26/10/2001,16,12.8,37,225,44,0
