Scenario;datetime;APCP;TMP;RH;WS;WD;FFMC;DMC;DC;ISI;BUI;FWI
JCB;2001-09-25 00:00;0.0;2.5;94;2;360;80.9;58;482;1.4;89;6.4
JCB;2001-09-25 01:00;0.0;1.1;96;2;360;79.5;58;482;1.2;89;5.5
JCB;2001-09-25 02:00;0.0;-0.3;98;1;360;78.1;58;482;1.0;89;4.6
JCB;2001-09-25 03:00;0.0;-0.7;98;3;360;76.7;58;482;1.0;89;4.6
JCB;2001-09-25 04:00;0.0;-0.3;94;0;0;75.4;58;482;0.8;89;3.5
JCB;2001-09-25 05:00;0.0;1.8;82;2;360;74.1;58;482;0.8;89;3.6
JCB;2001-09-25 06:00;0.0;2.5;78;9;360;72.8;58;482;1.1;89;5.0
JCB;2001-09-25 07:00;0.0;2.1;80;5;360;73.8;58;482;0.9;89;4.2
JCB;2001-09-25 08:00;0.0;2.8;78;2;360;72.9;58;482;0.8;89;3.4
JCB;2001-09-25 09:00;0.0;4.9;78;6;360;74.3;58;482;1.0;89;4.6
JCB;2001-09-25 10:00;0.0;12.1;43;11;360;81.3;58;482;2.3;89;9.9
JCB;2001-09-25 11:00;0.0;16.9;33;18;360;86.9;58;482;6.8;89;22.8
JCB;2001-09-25 12:00;0.0;21.3;24;5;360;90.1;58;482;5.6;89;19.8
JCB;2001-09-25 13:00;0.0;23.3;14;4;360;92.1;62;488;7.1;94;24.2
JCB;2001-09-25 14:00;0.0;24.2;14;9;360;92.7;62;488;10.0;94;30.5
JCB;2001-09-25 15:00;0.0;25.1;14;12;360;93.3;62;488;12.6;94;35.6
JCB;2001-09-25 16:00;0.0;26.9;10;13;360;93.8;62;488;14.2;94;38.6
JCB;2001-09-25 17:00;0.0;27.3;10;7;360;94.3;62;488;11.3;94;33.1
JCB;2001-09-25 18:00;0.0;25.1;14;15;360;93.7;62;488;15.5;94;40.8
JCB;2001-09-25 19:00;0.0;22.1;20;6;360;93.1;62;488;9.1;94;28.6
JCB;2001-09-25 20:00;0.0;12.1;47;0;0;91.8;62;488;5.5;94;20.2
JCB;2001-09-25 21:00;0.0;8.8;57;0;0;90.4;62;488;4.6;94;17.6
JCB;2001-09-25 22:00;0.0;7.8;65;3;360;89.1;62;488;4.4;94;17.0
JCB;2001-09-25 23:00;0.0;7.1;67;3;360;87.8;62;488;3.6;94;14.7
JCB;2001-09-26 00:00;0.0;6.0;73;3;360;86.4;62;488;3.0;94;12.6
